"","business_id","business_lat","business_long","business_park","business_price","business_open","business_cat","n_photo","cum_n_tips","cum_max_friends","cum_max_u_elite","cum_max_us_fans","cum_max_us_rev","male","female","date","ch_in"
"1","uW6UHfONAmm8QttPkbMewQ",36.0420628,-115.2781558,"true",2,"True","Others",40,51,3198,13,415,3061,9,15,2018-03-10,1
"2","A-uZAD4zP3rRxb44WUGV5w",36.0552438,-115.2258702,"true",2,"True","Asian",123,21,2607,13,415,3061,7,9,2015-04-22,1
"3","UMqfeCItzQ2glr4d9apGlA",36.0719274658,-115.1070339563,"true",1,"True","Others",39,6,961,9,90,1019,4,2,2011-12-13,1
"4","DkYS3arLOhA8si5uUEmHOw",36.109418,-115.1718738,"true",1,"True","American",53,33,2916,10,219,1664,4,9,2012-02-09,1
"5","GI-CAiZ_Gg3h21PwrANB4Q",36.1079241113,-115.1740550995,"true",4,"True","American",63,15,1060,13,364,1988,3,9,2015-02-04,0
"6","LxNoSrtJYB7HvP5I-8p-Ow",33.3649138593,-111.9305216116,"true",1,"True","Others",2,5,111,5,23,440,2,1,2014-06-10,1
"7","C9ImzBi5fn742ZcAYDww2A",35.9949501,-115.2062178,"true",2,"True","American",26,31,3198,9,378,1431,8,10,2014-11-02,1
"8","pHDLRIG2Xu1_1mkGAbyEmw",40.4559632,-79.9313287,"true",2,"True","American",12,7,353,6,65,823,1,2,2016-01-27,1
"9","D6K3VT6S8FwFm4u5uN8T8g",36.1595762338,-115.2330892995,"true",2,"True","Asian",56,5,1801,9,283,2421,3,2,2015-01-29,1
"10","ygaOvp0PLBYaYeN9cZAlGg",36.1265668,-115.2132314,"true",2,"True","Others",43,9,3558,9,378,1614,4,2,2016-07-08,1
"11","iCQpiavjjPzJ5_3gPD5Ebg",36.109837,-115.174212,"true",1,"True","Others",138,33,1713,11,236,1209,8,15,2012-07-27,1
"12","ugLqbAvBdRDc-gS4hpslXw",36.115520451,-115.1349705842,"true",2,"True","Others",25,15,693,8,77,1604,6,4,2012-01-03,1
"13","1CR2ddUcjYYwRd5JLtiRrw",36.1042269,-115.1721488,"true",2,"True","American",34,3,3975,4,730,907,0,3,2012-05-19,1
"14","EAwh1OmG6t6p3nRaZOW_AA",36.1129962,-115.1633962,"true",1,"True","American",23,4,446,10,53,478,1,1,2010-08-07,1
"15","0NmTwqYEQiKErDv4a55obg",36.1102405779,-115.1742884517,"true",3,"True","Others",51,4,1713,10,208,987,0,4,2012-03-19,1
"16","UV3oegQXN8tWtm8azFPZ2w",43.698613,-79.396484,"true",2,"True","American",6,1,84,7,42,532,0,1,2015-03-23,0
"17","eaNenRk_liZBERFFLCXqqQ",36.1259456853,-115.2219796307,"true",2,"True","Others",78,3,1060,9,183,1606,1,1,2016-11-19,1
"18","zdE82PiD6wquvjYLyhOJNA",36.179939,-115.206417,"true",1,"True","Asian",12,5,3975,9,730,1019,2,1,2011-08-10,1
"19","_Kd0kQ8RF70hJ1ykLqCRyQ",36.0154353334,-115.1194969015,"true",1,"True","Mexican",2,2,2916,9,219,1664,0,2,2012-03-24,1
"20","qG_WEgPa8MBo1dPUOkTMlw",36.1006463107,-115.3020415166,"true",1,"True","Others",7,9,1193,7,122,631,2,4,2016-06-25,1
"21","fHo_ycJ1OQ_H7DyctJhr6A",36.0800571269,-115.1182481446,"true",1,"True","American",NA,2,1170,7,177,1232,2,0,2016-06-27,1
"22","Uq-GOs9_IqweUsB5MdII9w",43.681016,-79.4303768,"true",2,"True","Others",20,8,3233,8,478,1274,2,2,2017-10-07,1
"23","yHCoJZh5nx0Onr5xgMaUHg",43.7537215,-79.3494213,"true",2,"True","Others",NA,1,233,2,103,1181,0,0,2012-07-26,1
"24","H8umkLwMkM0vP5B8oPiozQ",36.0420620086,-115.1834150541,"true",2,"True","American",12,6,904,7,178,1606,3,1,2013-05-25,1
"25","BxCzy1WOVxOrr_G7V4BIvg",43.6697687,-79.382838,"true",2,"False","Others",13,6,233,6,103,1181,3,2,2018-01-14,1
"26","-wCtRhzWJ40Z4F8mmg7kWg",36.1073485,-115.1765836,"true",3,"True","American",90,2,1060,9,183,540,0,2,2016-05-28,1
"27","ovlWOSKVjGecnaPuZLv_OQ",43.6663211,-79.3872946,"true",2,"True","Others",34,1,244,10,45,432,1,0,2010-10-24,0
"28","wuQDMDlqM17jQNo0lYQZ7g",36.169326,-115.140097,"true",2,"True","American",66,14,3975,7,730,1232,7,3,2013-11-12,1
"29","C9ImzBi5fn742ZcAYDww2A",35.9949501,-115.2062178,"true",2,"True","American",26,13,693,4,76,573,1,5,2012-07-20,1
"30","7oEKIG7d1ttPRejppZ3WIA",43.6605167515,-79.3431122999,"true",2,"False","Mexican",5,5,1451,7,418,993,1,2,2013-12-27,1
"31","KW5edXlPGeZ0cx7MiJyamw",36.0254348939,-115.0467334683,"true",1,"True","Others",NA,9,3022,7,641,4321,1,3,2017-11-07,1
"32","wX1ORSDKPkA5ftE7F6UONw",36.1714234,-115.2452456,"true",1,"True","American",39,27,3198,9,378,1664,4,13,2013-07-30,0
"33","T0Uw6vwwfO3el29wBoDamQ",36.109413,-115.172353,"true",1,"False","Others",11,7,955,7,165,1185,3,3,2013-02-07,1
"34","YqhhwTqRdLsf7V4yKA33-A",36.2382786609,-115.1192357197,"true",1,"True","American",6,3,176,NA,5,107,1,2,2013-11-01,1
"35","CzqGem5OaPAk10bQK4bzbg",40.3389986,-80.0522262,"true",2,"True","Others",1,1,24,1,3,41,1,0,2011-09-03,1
"36","x0Ec6gz07SBnWrBOQLisiA",35.175325,-80.849762,"false",2,"True","American",10,2,1864,6,154,484,0,2,2017-01-13,1
"37","mLeAFPQ9fy5pYCTp0xjJkQ",35.3695912,-80.716634,"true",2,"True","Others",17,2,401,7,90,850,0,1,2014-03-29,1
"38","lpYFsXFrojiBZ1kbWR2lZw",33.6283902,-111.893335,"true",2,"True","American",8,5,471,9,55,1022,0,2,2012-01-10,1
"39","IVnGPHdTyu_GbLo9mXj98w",36.127704971,-115.2240540365,"true",1,"True","Others",17,4,427,3,23,139,2,2,2016-08-30,1
"40","C6uYx1g7TxmuzjfNtxK86w",36.0568211,-115.0414696,"true",1,"True","Others",3,4,818,9,146,1067,1,3,2016-02-20,1
"41","M5gj8a6Qtjy06lh3L5zUqA",33.5050197247,-111.9687994122,"true",3,"True","Others",NA,3,471,9,55,616,0,3,2013-06-05,1
"42","jcasci3gjbsSuTEVzvDQKg",35.2098855155,-80.8355979086,"true",2,"True","Others",3,2,237,8,69,932,0,1,2018-01-14,0
"43","n_K2xa_nqzUqaUJa0S_5tQ",36.125964,-115.1976,"true",1,"True","Others",17,21,3975,9,730,1664,6,6,2012-06-28,1
"44","yydyoWCY3LJYlPwVLKbJ3Q",33.533628,-112.261572,"true",2,"True","American",3,3,506,2,20,202,1,2,2018-04-10,1
"45","k6pWX0v60LIRS2guzkpxqQ",33.5409028387,-111.8697237968,"true",2,"True","Others",19,1,325,NA,8,81,1,0,2011-02-08,1
"46","4JNXUYY8wbaaDmk3BPzlWw",36.112859,-115.172434,"true",2,"True","Others",225,58,3746,13,596,3061,15,20,2015-07-03,1
"47","ZgWjkMSzIV9fAuJJQXSUvA",36.195285,-115.24816,"true",2,"True","Others",23,4,3975,4,730,907,1,3,2012-07-11,0
"48","El4FC8jcawUVgw_0EIcbaQ",36.1022507,-115.1699679,"true",2,"True","Others",NA,20,3094,9,283,2421,8,8,2012-06-05,1
"49","-BmqghX1sv7sgsxOIS2yAg",36.1216467,-115.144848,"true",1,"False","Others",1,2,812,8,35,1117,1,0,2011-11-16,0
"50","3xykzfVY2PbdjKCRDLdzTQ",36.063167,-115.037421,"true",2,"True","Others",23,6,856,4,45,371,3,1,2013-12-23,1
"51","AV6weBrZFFBfRGCbcRGO4g",36.097340676,-115.1763394271,"false",2,"True","Others",NA,34,4351,9,738,2229,11,15,2018-09-07,1
"52","cl52HltTt7tV5o6ANZq8OQ",33.679015,-111.974484,"true",2,"False","American",NA,2,229,8,19,291,0,2,2011-10-03,0
"53","6pG7n8Rx_7ZXeQQk690Nsw",43.0750277,-89.3919986,"true",1,"True","Others",1,1,2940,7,289,867,1,0,2014-06-20,1
"54","mm2wLW24ESxNIEL2bjseaQ",45.523205,-73.5613,"true",2,"True","American",15,2,206,6,18,310,1,0,2016-11-03,1
"55","ym5FOqL6tGbgynzwKMHZuw",36.0708818595,-115.2432708657,"true",2,"True","Others",15,4,693,4,76,573,1,2,2013-12-25,1
"56","iAuOpYDfOTuzQ6OPpEiGwA",36.0577242,-115.1225863,"true",2,"True","Others",5,7,1014,8,75,852,3,3,2014-06-06,1
"57","1LSdIQQVvzzyDyiYPxztkg",36.0050994,-115.1127157,"false",2,"True","Others",20,1,818,7,146,520,0,1,2018-06-03,1
"58","ttuEwktrkmh3TUlSFPZqAA",43.6590974,-79.3820781,"false",1,"True","Asian",8,2,60,7,10,199,0,1,2013-11-08,0
"59","XXW_OFaYQkkGOGniujZFHg",36.1336673317,-115.1630947555,"true",2,"True","American",90,15,2916,12,251,1668,5,7,2012-12-21,1
"60","mW97sJ9JVjs_REfp6XjRhQ",33.4223956225,-111.924355901,"true",1,"True","American",4,4,476,6,75,583,1,2,2014-07-01,1
"61","SdGgFPQrIzFlsrcWQ8MKMA",33.448424817,-112.0748020516,"true",2,"False","American",2,1,1,NA,0,13,0,1,2013-02-10,1
"62","e41TP5cXZqSrz50xCBJqZw",43.6651314099,-79.4108515895,"true",2,"True","Others",41,17,3233,10,478,1274,4,8,2018-01-28,1
"63","_xAJZOKBMPOe47p1MphB2w",43.8019756,-79.295159,"true",3,"True","Others",79,2,97,7,12,330,1,0,2013-01-18,0
"64","FfG8twx5K18y268Gp4dSKA",36.0579243227,-115.2433380223,"true",2,"True","American",4,15,1586,10,148,979,6,6,2015-06-22,1
"65","HnQVDNGFWOS5zle0dhpOkw",36.1128904151,-115.2975437254,"true",1,"False","Mexican",1,3,1997,6,309,858,1,1,2013-12-17,1
"66","Hv3iuAYsoF2FjH0ND9rIKg",33.6220938744,-111.8730840786,"true",3,"True","Others",NA,2,2065,1,105,1266,2,0,2011-10-03,1
"67","3BCsAgo_1i4xMuTyLKMLRQ",36.0758761,-115.1817259,"true",2,"True","American",67,19,3198,9,378,1431,6,7,2014-02-14,1
"68","eLFfWcdb7VkqNyTONksHiQ",36.0667760026,-115.0424710484,"false",2,"True","Others",67,26,3558,9,376,1614,5,9,2016-06-09,1
"69","ugf6qjoG5h6VXR5-vpq0Qw",36.144875,-115.302719,"true",2,"False","Others",6,23,3094,9,596,2963,7,9,2014-06-22,1
"70","K7lWdNUhCbcnEvI0NhGewg",36.10955,-115.176155,"true",3,"True","Others",642,2,352,9,48,584,0,2,2011-02-19,1
"71","9a3DrZvpYxVs3k_qwlCNSw",33.45496,-112.079908,"true",2,"True","Others",32,28,819,10,125,726,4,9,2014-03-16,1
"72","oq9bF1KUzSldObMSQ_aalQ",41.400715,-81.625622,"true",2,"True","American",4,6,545,7,95,867,2,0,2017-04-16,1
"73","XXW_OFaYQkkGOGniujZFHg",36.1336673317,-115.1630947555,"true",2,"True","American",90,12,2916,12,251,1668,5,5,2012-08-25,1
"74","t2O4Qx74U_IfBzDHJzvUCA",41.5036701,-81.691598,"true",2,"True","American",21,1,33,3,7,152,0,1,2015-04-05,1
"75","gJd1jOcl5FdqY020Q19n6Q",36.159147,-115.152728,"true",2,"False","American",11,16,3975,9,730,2421,3,6,2014-04-20,1
"76","d4qwVw4PcN-_2mK2o1Ro1g",36.109706,-115.154021,"true",2,"True","Mexican",44,6,940,6,78,912,2,2,2012-03-07,1
"77","CtZ3HujCLTChyoad_L-nHA",36.059716,-115.242234,"false",1,"True","Others",20,1,121,NA,6,102,0,1,2016-06-04,1
"78","y4ETe3DkcIjjr_eyeg5U5g",36.158705,-115.15293,"true",2,"True","Others",26,42,6026,10,697,1614,11,12,2018-05-12,1
"79","g8OnV26ywJlZpezdBnOWUQ",36.1447126,-115.2400919,"true",2,"True","American",53,3,190,5,13,373,1,2,2011-02-10,1
"80","7sPNbCx7vGAaH7SbNPZ6oA",36.0426311,-115.1530184,"true",2,"True","Asian",60,28,3094,9,148,727,11,5,2012-02-05,1
"81","f8IMQgRwo-8GP372MElDGQ",36.1719980524,-115.1466319359,"true",2,"True","Others",NA,22,1170,9,177,1232,5,3,2018-02-10,1
"82","hDlRzzxfVkVNjnveJ8sLmg",36.0326281,-114.9836672,"true",1,"True","American",8,13,1193,7,122,297,2,3,2014-05-14,1
"83","BIBWGO_r_1znnlmLbp4Nxg",36.1697807,-115.1455339,"true",2,"True","Others",NA,36,6187,12,894,2665,14,10,2018-08-22,1
"84","6kkxRV8H9SQLybj0xnEbMw",36.020552,-115.089984,"true",2,"True","Others",NA,3,244,8,28,706,0,3,2012-09-16,1
"85","BjH8Xepc10i6OhCDQdX6og",36.102795,-115.168508,"true",3,"True","American",53,4,2916,9,219,1664,1,3,2015-03-31,1
"86","iAuOpYDfOTuzQ6OPpEiGwA",36.0577242,-115.1225863,"true",2,"True","Others",5,10,1299,8,153,852,4,5,2017-03-06,0
"87","frCxZS7lPhEnQRJ3UY6m7A",33.469201,-112.0473809,"true",2,"True","Mexican",34,6,1345,11,199,755,3,1,2011-01-02,1
"88","vraKC3CB9KSDCxYX0q3gWA",36.0631376,-115.0434945,"false",2,"True","Asian",5,2,28,NA,2,72,0,1,2012-11-17,1
"89","6kkxRV8H9SQLybj0xnEbMw",36.020552,-115.089984,"true",2,"True","Others",NA,22,2094,9,190,1232,4,14,2018-07-18,1
"90","IRd0jvnfJ3tV6AMlYMajzw",43.875849,-79.413679,"true",2,"True","Others",18,2,562,10,715,6314,1,1,2013-01-03,1
"91","7sPNbCx7vGAaH7SbNPZ6oA",36.0426311,-115.1530184,"true",2,"True","Asian",60,72,3094,13,596,3061,21,17,2013-11-07,1
"92","wKA2y-F_fPcBDOkpzDB9eQ",36.2406953,-115.0961299,"true",2,"True","Mexican",3,11,3558,8,376,1614,0,5,2014-04-13,1
"93","HhVmDybpU7L50Kb5A0jXTg",36.1180802326,-115.1724323608,"true",2,"True","American",82,3,3198,9,378,1431,2,1,2014-06-18,1
"94","GMrwDXRlAZU2zj5nH6l4vQ",36.1001831,-115.138668,"true",1,"True","American",11,3,3975,7,730,907,0,3,2012-08-29,1
"95","62HlThvB9Rm2QFu_OdXe7w",33.4719884,-112.0648068,"true",2,"False","Others",2,9,6187,12,894,1932,0,6,2012-09-04,1
"96","SXgVJz5aIvbeCXWvg0ZuNg",35.220076,-80.8119551,"true",2,"True","Others",2,1,49,6,15,255,0,1,2014-08-17,1
"97","Lz6QUlFkVKtnzSISk0WUPw",33.3652497,-111.8607012,"true",2,"True","American",12,15,4351,6,738,763,4,7,2016-07-30,1
"98","EfmP_Rn43N0XbqbiBShG9A",33.5686625,-111.888922,"true",2,"True","Others",NA,2,585,6,126,304,0,1,2018-10-25,0
"99","TCoBE_BkDRrK0bWrh5VueQ",36.0175605896,-115.1178946994,"true",1,"True","Mexican",34,21,1287,9,183,1232,7,9,2017-05-22,0
"100","DYuOxkW4DtlJsTHdxdXSlg",36.1150923353,-115.1546845794,"true",2,"True","American",22,22,1672,8,116,1258,4,13,2017-05-08,1
"101","YeYtDdGRonHddnviDc1q7g",36.0253639,-115.1190162,"true",1,"True","Asian",5,4,2916,9,219,1664,0,2,2012-10-26,1
"102","yUkOP3Tmdp1pWA7p3zHboQ",33.6546346318,-111.9292058819,"true",2,"True","American",5,7,471,9,55,439,1,6,2013-07-10,1
"103","QJatAcxYgK1Zp9BRZMAx7g",36.1030612595,-115.1734502614,"true",2,"True","American",169,8,1170,9,183,1606,3,3,2015-02-08,1
"104","yvqMh9kTv3Kx-tocc0DFBQ",43.084781,-89.376208,"true",1,"True","Others",9,2,2940,7,289,1144,1,1,2012-11-08,1
"105","A0X1baHPgw9IiBRivu0G9g",36.1575911274,-115.2856576831,"true",1,"True","Others",NA,19,2916,9,219,1664,1,4,2012-05-24,1
"106","JzOp695tclcNCNMuBl7oxA",33.419568,-111.916097,"true",2,"True","American",37,2,73,6,6,192,1,0,2011-02-13,1
"107","bpRo8L8dkhgbJhdIKa9mwA",36.1098294728,-115.1736184143,"true",4,"True","American",72,3,158,7,22,349,1,1,2014-02-24,1
"108","xyAbFNEIFSy_OKNptyzCmg",43.6592409,-79.38286,"true",2,"True","American",6,2,71,5,16,384,0,1,2015-07-13,0
"109","uDeycmwCy26ALJHeG3SsEA",36.2812317365,-115.2861511407,"true",2,"True","American",7,8,3198,9,378,1431,2,5,2014-05-12,1
"110","OTcBXjDkViDPds4Lxy8KIQ",36.0724521382,-115.0801667199,"true",1,"True","Mexican",22,32,2916,9,219,1664,8,5,2016-06-17,1
"111","u-67zd1ImTv3EEr5kIdWrA",36.0928664972,-115.1758682728,"true",2,"True","American",NA,4,3975,10,730,1269,2,1,2011-05-13,1
"112","LQFmktF43j2NPncKdNd9mg",40.4289667,-79.9801756,"true",2,"True","American",7,4,3164,8,539,1180,1,2,2017-04-20,0
"113","Rj-7ymdw8aNZBRqGRAjR3Q",36.1275122369,-115.168868991,"true",2,"True","Mexican",25,7,949,5,52,613,1,6,2016-03-17,1
"114","k7Sy557_ZaQSGHFlZgeJzw",36.0697752391,-115.0799874426,"true",2,"True","Others",4,3,818,7,146,520,1,2,2013-01-06,1
"115","VVeT1XqQYwrB_fbp3efdUg",35.4819013369,-80.8818800812,"true",1,"True","Others",3,2,5249,11,436,967,2,0,2015-11-29,1
"116","DYeqmpmGgCDaPD6u0nxYLA",43.8421215252,-79.3871925045,"true",2,"True","Others",6,3,154,6,24,428,0,2,2017-02-21,0
"117","TH34Fsp9fkARGhKa6u3qrQ",33.5390898,-111.884781,"true",1,"True","Mexican",18,4,3402,9,499,1276,2,1,2011-11-02,1
"118","qmymSqVwHYRqdwfcBatzpQ",36.1594376869,-115.3166287189,"true",3,"True","American",38,5,3975,7,730,1185,3,2,2014-07-13,1
"119","sKrlmbrZWCyLIgiMihCPqw",33.493853,-111.9256247,"true",2,"True","Asian",15,4,1057,5,70,414,2,2,2014-02-11,1
"120","CiYLq33nAyghFkUR15pP-Q",36.1584751,-115.1265495,"true",1,"True","Mexican",38,30,3198,9,378,1431,9,11,2014-03-24,1
"121","diY31IEunbV8MfDh81FS1A",36.143856508,-115.2960613108,"true",1,"True","Others",6,12,427,9,55,1360,2,5,2012-07-26,1
"122","BSDKbSLFO3CP-uhfcuUCkA",36.148748,-115.3321874,"false",2,"True","American",24,13,1073,9,183,698,3,8,2018-03-07,0
"123","ypfFfR3-PbtoslIhohNstw",36.1267945039,-115.2410376816,"true",2,"True","Others",6,9,1193,7,122,420,1,6,2015-10-05,1
"124","zEaGcSVPDQipnRdEZp-F6g",36.1578224556,-115.3112018601,"true",2,"True","Others",10,12,3975,9,730,1185,3,5,2013-05-16,0
"125","xmARZ_MuSfrQCXP4e8RQjg",33.3607005,-111.859793,"true",2,"True","Others",4,1,9,NA,0,25,0,1,2018-08-18,1
"126","KoqiR3YN3mhbyuUWYIhuIw",36.0566224,-115.2352757,"true",1,"False","American",1,2,427,2,23,139,0,1,2013-05-09,1
"127","nwHd2MbIGz0SNG8GpFjekw",33.5395733,-112.0483460142,"true",1,"True","Mexican",9,8,359,5,33,205,2,2,2018-04-06,1
