"","ch_in","cum_n_tips","cum_max_friends","cum_max_u_elite","cum_max_us_fans","cum_max_us_rev","male","female"
"15335",0,1,289,3,33,242,0,1
"15517",0,3,1779,7,210,1196,1,2
"15538",0,4,1779,7,210,1196,1,2
"16248",0,5,1779,7,210,1196,1,2
"16349",0,6,1779,7,210,1196,1,2
"16372",0,7,1779,7,210,1196,1,3
"16390",0,8,1779,7,210,1196,1,3
"17444",0,9,1779,7,210,1196,1,3
"18399",0,10,1779,7,210,1196,1,4
"18450",0,11,1779,7,210,1196,1,5
"18872",0,12,1779,7,210,1196,1,5
"19842",0,13,1779,7,210,1196,1,5
"22327",0,14,1779,7,210,1196,1,5
"25822",0,15,1779,7,210,1196,1,6
"28960",0,16,1779,7,210,1196,2,6
"3445",0,1,3975,3,730,907,0,1
"8475",0,2,3975,3,730,907,1,1
"10550",0,3,3975,6,730,907,2,1
"10707",1,4,3975,6,730,907,2,2
"16620",0,1,273,5,52,613,0,1
"16721",0,2,273,5,52,613,0,1
"17940",0,3,626,6,52,613,1,1
"18006",0,4,955,7,165,1185,1,2
"18060",0,5,955,7,165,1185,1,3
"18328",0,6,955,7,165,1185,1,3
"19125",0,7,955,7,165,1185,1,3
"19258",0,8,955,7,165,1185,1,3
"19724",0,9,955,7,165,1185,1,4
"20330",0,10,955,9,165,1185,1,5
"20584",0,11,955,9,165,1185,1,5
"21357",0,12,955,9,165,1185,1,6
"18856",0,2,1143,2,140,481,0,1
"19293",0,3,1143,3,140,481,0,2
"19495",1,4,1143,4,140,573,0,3
"19793",0,5,1143,4,140,573,0,4
"20320",0,6,1143,4,140,573,0,4
"20870",0,7,1143,4,140,573,0,5
"21723",0,8,1143,4,140,573,0,6
"21830",0,9,1143,9,183,573,0,7
"22287",0,10,1143,9,183,573,0,8
"23159",1,11,1143,9,183,617,0,9
"23492",0,12,1143,9,183,1258,0,10
"24593",0,13,1143,9,183,1258,1,10
"24650",0,14,1143,9,183,1258,1,11
"25791",0,15,3198,9,378,1431,2,11
"26328",0,16,3198,9,378,1431,2,12
"27027",1,17,3198,9,378,1431,2,12
"28056",0,18,3198,9,378,1431,3,12
"28742",0,19,3198,9,378,1431,3,13
"374",0,1,340,9,48,382,0,1
