"","ch_in","business_lat","business_long","WE","Quarter","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","TOBS_1","TOBS_2","TOBS_3","TOBS_4"
"15335",0,36.1593346922,-115.351527129,0,"Q2",0,0,0,333.333333333333,176,239,228,178,156,172
"15517",0,36.1593346922,-115.351527129,0,"Q2",0,0,0,250,152,172,217,144,128,172
"15538",0,36.1593346922,-115.351527129,0,"Q2",0,0,0,266.666666666667,146,144,128,172,194,172
"16248",0,36.1593346922,-115.351527129,0,"Q2",0,0,0,388.666666666667,246.333333333333,317,294,278,267,267
"16349",0,36.1593346922,-115.351527129,0,"Q2",0,0,0,326,211,239,272,317,328,300
"16372",0,36.1593346922,-115.351527129,0,"Q2",0,0,0,396.333333333333,216.666666666667,317,328,300,311,311
"16390",0,36.1593346922,-115.351527129,1,"Q2",0,0,0,409.666666666667,254,328,300,311,311,322
"17444",0,36.1593346922,-115.351527129,0,"Q3",0,0,0,376,228,267,283,289,300,283
"18399",0,36.1593346922,-115.351527129,0,"Q4",0,0,0,57.3333333333333,5.66666666666667,6,-11,0,11,28
"18450",0,36.1593346922,-115.351527129,0,"Q1",0,0,0,157.333333333333,13,50,83,100,89,89
"18872",0,36.1593346922,-115.351527129,0,"Q1",0.545454545454545,0,0,181.333333333333,65,78,106,133,128,100
"19842",0,36.1593346922,-115.351527129,0,"Q2",0,0,0,439,253.666666666667,317,350,328,317,311
"22327",0,36.1593346922,-115.351527129,0,"Q1",0,0,0,272,135.333333333333,178,122,189,94,106
"25822",0,36.1593346922,-115.351527129,1,"Q2",0,0,0,331.666666666667,203.666666666667,278,244,272,289,250
"28960",0,36.1593346922,-115.351527129,1,"Q3",0,0,0,374,222.333333333333,272,294,267,256,244
"3445",0,36.1593761663,-115.3506778771,1,"Q4",0,0,0,164.666666666667,26,61,50,39,33,72
"8475",0,36.1593761663,-115.3506778771,0,"Q4",0,0,0,205.666666666667,79.6666666666667,117,94,100,44,39
"10550",0,36.1593761663,-115.3506778771,1,"Q2",0,0,0,331.333333333333,157.333333333333,233,194,167,133,161
"10707",1,36.1593761663,-115.3506778771,0,"Q2",0,0,0,390.666666666667,215,289,267,267,244,222
"16620",0,36.1571094692,-115.3351285459,0,"Q3",10.1538461538462,0,0,392.333333333333,272.333333333333,267,317,267,294,328
"16721",0,36.1571094692,-115.3351285459,0,"Q3",0,0,0,417,287,333,339,339,294,317
"17940",0,36.1571094692,-115.3351285459,0,"Q4",0,0,0,250,88.6666666666667,128,139,150,156,144
"18006",0,36.1571094692,-115.3351285459,0,"Q4",0,0,0,224.333333333333,115,156,122,128,39,44
"18060",0,36.1571094692,-115.3351285459,0,"Q4",0,0,0,159.333333333333,55.6666666666667,61,106,100,167,61
"18328",0,36.1571094692,-115.3351285459,1,"Q4",0,0,0,129.666666666667,51.6666666666667,67,167,56,128,56
"19125",0,36.1571094692,-115.3351285459,0,"Q1",0,0,0,268.666666666667,135,206,150,144,200,178
"19258",0,36.1571094692,-115.3351285459,0,"Q2",0,0,0,202,94.3333333333333,106,122,156,183,183
"19724",0,36.1571094692,-115.3351285459,0,"Q2",0,0,0,325.666666666667,198,211,233,261,289,256
"20330",0,36.1571094692,-115.3351285459,0,"Q3",0,0,0,401.666666666667,274,300,322,278,294,344
"20584",0,36.1571094692,-115.3351285459,0,"Q3",0.272727272727273,0,0,392.333333333333,255.333333333333,306,306,294,294,322
"21357",0,36.1571094692,-115.3351285459,0,"Q4",1.4,0,0,111.333333333333,37,22,50,11,11,33
"18856",0,36.156348,-115.334471,1,"Q1",13.3636363636364,0,0,150,52,50,61,78,106,133
"19293",0,36.156348,-115.334471,1,"Q2",0,0,0,296,148.333333333333,183,233,117,122,156
"19495",1,36.156348,-115.334471,0,"Q2",0,0,0,298,175.666666666667,194,128,117,161,194
"19793",0,36.156348,-115.334471,1,"Q2",3.9,0,0,411.333333333333,265,322,328,317,333,328
"20320",0,36.156348,-115.334471,0,"Q3",0,0,0,403.666666666667,261.333333333333,317,300,322,278,294
"20870",0,36.156348,-115.334471,0,"Q4",0,0,0,318.333333333333,220.333333333333,261,206,200,161,161
"21723",0,36.156348,-115.334471,0,"Q1",0,0,0,146,35.3333333333333,67,78,89,56,72
"21830",0,36.156348,-115.334471,1,"Q1",22.2,0,0,163.333333333333,52,50,33,0,17,33
"22287",0,36.156348,-115.334471,1,"Q1",0,0,0,305.666666666667,131.333333333333,228,167,122,106,133
"23159",1,36.156348,-115.334471,0,"Q2",0,0,0,440.666666666667,286.666666666667,378,317,350,261,222
